ecrivain,ecrivainLabel,nationaliteLabel,dateNaissance,dateMort,lieuNaissanceLabel,lieuDecesLabel,GeolocLieuNaissance,GeolocLieuDeces
http://www.wikidata.org/entity/Q47293,Erich Maria Remarque,États-Unis,1898-06-22T00:00:00Z,1970-09-25T00:00:00Z,Osnabrück,Locarno,Point(8.043055555 52.278888888),Point(8.799722222 46.166388888)
http://www.wikidata.org/entity/Q47561,Ivo Andrić,Royaume de Yougoslavie,1892-10-10T00:00:00Z,1975-03-13T00:00:00Z,Dolac,Belgrade,Point(17.6708 44.22),Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q54543,Helen Wills,États-Unis,1905-10-06T00:00:00Z,1998-01-01T00:00:00Z,Fremont,Carmel-by-the-Sea,Point(-121.982777777 37.543055555),Point(-121.923333333 36.555277777)
http://www.wikidata.org/entity/Q58612,Yehuda Amichaï,Allemagne,1924-05-03T00:00:00Z,2000-09-22T00:00:00Z,Wurtzbourg,Jérusalem,Point(9.929444444 49.794444444),Point(35.216666666 31.783333333)
http://www.wikidata.org/entity/Q64577,Peter Berling,Allemagne de l'Ouest,1934-03-20T00:00:00Z,2017-11-21T00:00:00Z,Międzyrzecz,Rome,Point(15.588333333 52.448333333),Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q61601,Georg Heym,Empire allemand,1887-10-30T00:00:00Z,1912-01-16T00:00:00Z,Jelenia Góra,Berlin,Point(15.72899 50.89973),Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q44331,Arthur Schnitzler,Autriche,1862-05-15T00:00:00Z,1931-10-21T00:00:00Z,Vienne,Vienne,Point(16.373064 48.20833),Point(16.373064 48.20833)
http://www.wikidata.org/entity/Q46599,Mikhaïl Lermontov,Empire russe,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Moscou,Piatigorsk,Point(37.617777777 55.755833333),Point(43.05 44.033333)
http://www.wikidata.org/entity/Q60369,Jakob Wassermann,Allemagne,1873-03-10T00:00:00Z,1934-01-01T00:00:00Z,Fürth,Altaussee,Point(10.990277777 49.478333333),Point(13.763333333 47.639444444)
http://www.wikidata.org/entity/Q44540,Oskar Maria Graf,Allemagne,1894-07-22T00:00:00Z,1967-06-28T00:00:00Z,Berg,New York,Point(11.355833333 47.9675),Point(-73.94 40.67)
http://www.wikidata.org/entity/Q44540,Oskar Maria Graf,apatride,1894-07-22T00:00:00Z,1967-06-28T00:00:00Z,Berg,New York,Point(11.355833333 47.9675),Point(-73.94 40.67)
http://www.wikidata.org/entity/Q47561,Ivo Andrić,Autriche-Hongrie,1892-10-10T00:00:00Z,1975-03-13T00:00:00Z,Dolac,Belgrade,Point(17.6708 44.22),Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q64577,Peter Berling,Allemagne,1934-03-20T00:00:00Z,2017-11-21T00:00:00Z,Międzyrzecz,Rome,Point(15.57801 52.44461),Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q60647,Wilhelm Raabe,Allemagne,1831-09-08T00:00:00Z,1910-11-15T00:00:00Z,Eschershausen,Brunswick,Point(9.65 51.916666666),Point(10.521111111 52.269166666)
http://www.wikidata.org/entity/Q64577,Peter Berling,Troisième Reich,1934-03-20T00:00:00Z,2017-11-21T00:00:00Z,Międzyrzecz,Rome,Point(15.57801 52.44461),Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q44519,Selma Lagerlöf,Suède,1858-11-20T00:00:00Z,1940-03-16T00:00:00Z,Mårbacka,Mårbacka,Point(13.233208333 59.781266666),Point(13.233208333 59.781266666)
