artist,artistLabel,birthPlaceLabel,coordsBP,coordsBPPast,pic,causeLabel,signat,plBurialLabel,plBurialCoords,plBurialCoordsPast,deathDate,generated
http://www.wikidata.org/entity/Q5348218,Egon Sendler,"Małkowice, Podkarpackie Voivodeship","48.766388888, 2.407777777","22.81666667,49.85",http://commons.wikimedia.org/wiki/Special:FilePath/Sendler%202008.jpg,,,,,,2014-03-17,1083
http://www.wikidata.org/entity/Q5441836,Feliks Sypniewski,Gmina Pępowo,"48.856577777, 2.351827777","17.12661,51.76569",http://commons.wikimedia.org/wiki/Special:FilePath/Feliks%20Sypniewski.jpg,,,,,,1902-01-05,1084
http://www.wikidata.org/entity/Q5441836,Feliks Sypniewski,Gmina Pępowo,"48.856577777, 2.351827777","17.119166666,51.761944444",http://commons.wikimedia.org/wiki/Special:FilePath/Feliks%20Sypniewski.jpg,,,,,,1902-01-05,1085
http://www.wikidata.org/entity/Q5442420,Feliza Bursztyn,Bogotá,"48.856577777, 2.351827777","-74.080833333,4.598888888",http://commons.wikimedia.org/wiki/Special:FilePath/Homenaje%20a%20Gandhi%20%281971%29.JPG,,,,,,1982-01-08,1086
http://www.wikidata.org/entity/Q5464838,Maurits Niekerk,Amsterdam,"47.872777777, -3.549722222","4.9,52.383333333",http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20maurits%20niekerk.jpg,,,,,,1940-03-20,1087
http://www.wikidata.org/entity/Q5478336,William Barbotin,Ars-en-Ré,"37.502669444, 15.087269444","-1.515833333,46.207777777",http://commons.wikimedia.org/wiki/Special:FilePath/William%20Barbotin%20photo.jpg,,,,,,1931-11-12,1088
http://www.wikidata.org/entity/Q5545481,Gustave Albert,Eskilstuna,"-34.599722222, -58.381944444","16.449032942,59.348700525",http://commons.wikimedia.org/wiki/Special:FilePath/Gustaf%20Albert%20-%20from%20Svenskt%20Portr%C3%A4ttgalleri%20XX.png,,,,,,1905-02-01,1089
http://www.wikidata.org/entity/Q5546780,Pierre Allais,Paris,"48.856577777, 2.351827777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Ritratto%20di%20gentiluomo%20-%20Allais.jpg,,,,,,1782-01-01,1090
http://www.wikidata.org/entity/Q5550351,Gerasimos Vokos,Patras,"36.500718, 36.35572","21.733333333,38.25",http://commons.wikimedia.org/wiki/Special:FilePath/Gerasimos%20Vokos.jpg,,,,,,1927-01-01,1091
http://www.wikidata.org/entity/Q5562173,Jean-Ernest Aubert,Paris,"36.498888888, 36.353055555","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Ernest%20Aubert%20by%20Braun.png,,,,,,1906-06-02,1092
http://www.wikidata.org/entity/Q5562200,Louis-François Aubry,Paris,"56.669423411, 16.321785258","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Louis-Fran%C3%A7ois%20Aubry%20%281767-1851%29.jpg,,,,,,1851-06-16,1093
http://www.wikidata.org/entity/Q5562200,Louis-François Aubry,Paris,"60.665134595, 17.175023604","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Louis-Fran%C3%A7ois%20Aubry%20%281767-1851%29.jpg,,,,,,1851-01-16,1094
http://www.wikidata.org/entity/Q5579015,Eugène Blery,Fontainebleau,"43.4925, -1.476388888","2.701666666,48.408888888",http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20BLERY%20photographi%C3%A9%20par%20Nadar.JPG,,,,,,1887-06-07,1095
