Title,Artist,Nationality,Gender,Date,DateAcquired,URL,ThumbnailURL,Column
Explanation,Woody Vasulka,(American),(Male),1974,1976-01-01,http://www.moma.org/collection/works/118187,http://www.moma.org/media/W1siZiIsIjI1NTA1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f6ab31a9d95af1a0,
Vocabulary,Woody Vasulka,(American),(Male),1973,1976-01-01,http://www.moma.org/collection/works/118188,http://www.moma.org/media/W1siZiIsIjE1MTYyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=876d1b1049426503,
East Ended Tape,Peter Campus,(American),(Male),1976,1976-07-21,http://www.moma.org/collection/works/118189,http://www.moma.org/media/W1siZiIsIjE1MTYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ddde7b3c5f392f5,
Migration,Bill Viola,(American),(Male),1976,1979-02-05,http://www.moma.org/collection/works/118190,http://www.moma.org/media/W1siZiIsIjE1MTYzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ebc1c8ca676faff3,
Brainwash,Les Levine,(American),(Male),1974,1979-02-05,http://www.moma.org/collection/works/118193,http://www.moma.org/media/W1siZiIsIjIxNDM1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a83ec8cfd7fd47fc,
Kiss the Girls: Make Them Cry,Dara Birnbaum,(American),(Female),1979,1980-11-18,http://www.moma.org/collection/works/118203,http://www.moma.org/media/W1siZiIsIjE1MTYzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42b404e43de1ac90,
Cadillac Ranch Show,Ant Farm,(American),(),1994,1980-11-18,http://www.moma.org/collection/works/118206,http://www.moma.org/media/W1siZiIsIjE1MTYzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=118c8f6a050468e6,
After Montgolfier,Davidson Gigliotti,(American),(Male),1979,1981-10-01,http://www.moma.org/collection/works/118209,,
Get Ready to March!,Chip Lord,(American),(Male),1981,1981-11-16,http://www.moma.org/collection/works/118210,http://www.moma.org/media/W1siZiIsIjI1MDcwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=765a37c7aff58652,
El Corandero,Shalom Gorewitz,(American),(Male),1979,1981-11-16,http://www.moma.org/collection/works/118213,http://www.moma.org/media/W1siZiIsIjIxMzkyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5b29992fd3c6153c,
Guadalcanal Requiem,Nam June Paik,(American),(Male),1979,1981-03-25,http://www.moma.org/collection/works/118214,http://www.moma.org/media/W1siZiIsIjE1MTYzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5dcd441257e97f4f,
Lake Placid '80,Nam June Paik,(American),(Male),1980,1981-03-15,http://www.moma.org/collection/works/118217,http://www.moma.org/media/W1siZiIsIjE1MTYzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07020ab57c1e6ea2,
