Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Michele Carafa;La Belle au bois dormant;1825-03-02;opéra de Paris;48.8719697,2.3316014;français;
Carl Maria von Weber;Oberon;1826-04-12;Royal Opera House;51.512891666,-0.122766666;anglais;
Gioachino Rossini;Ivanhoé;1826-09-15;théâtre de l'Odéon;48.8495,2.33875;français;
Vincenzo Bellini;Il pirata;1827-10-27;La Scala;45.467777777,9.188611111;italien;
Vincenzo Bellini;La straniera;1829-02-14;La Scala;45.467777777,9.188611111;italien;
Vincenzo Bellini;Zaira;1829-05-16;Teatro Regio;44.803055555,10.327222222;italien;
Daniel François Esprit Auber;Fra Diavolo;1830-01-28;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Albert Guillon;Maria di Brabante;1830-02-25;La Fenice;45.433333333,12.333055555;italien;
Vincenzo Bellini;I Capuleti e i Montecchi;1830-03-11;La Fenice;45.433333333,12.333055555;italien;
Ramón Carnicer;Cristóforo Colombo;1831-01-12;Madrid;40.418888888,-3.691944444;italien;
Ramón Carnicer;Cristóforo Colombo;1831-01-12;Madrid;40.418888888,-3.691944444;espagnol;
Gaetano Donizetti;Le convenienze ed inconvenienze teatrali;1831-04-20;Teatro Nuovo;43.9827554,12.4906356;italien;
Giacomo Meyerbeer;Robert le Diable;1831-11-21;opéra de Paris;48.8719697,2.3316014;français;
Vincenzo Bellini;Norma;1831-12-26;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Bellin-Norma%20poster%20for%201831%20premiere.jpg
Gaetano Donizetti;Ugo, Conte di Parigi;1832-03-13;La Scala;45.467777777,9.188611111;italien;
Gaetano Donizetti;L'elisir d'amore;1832-05-12;Teatro Lirico;45.46149722,9.19182222;italien;http://commons.wikimedia.org/wiki/Special:FilePath/L%27elisir%20d%27amore%20poster.jpg
Saverio Mercadante;Ismalia;1832-10-27;La Scala;45.467777777,9.188611111;italien;
Ramón Carnicer;Eufemio di Messina;1832-12-14;Madrid;40.418888888,-3.691944444;;
Vincenzo Bellini;Beatrice di Tenda;1833-03-16;La Fenice;45.433333333,12.333055555;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Beatrice%20di%20Tenda-poster%20for%20premiere.jpg
Heinrich Marschner;Hans Heiling;1833-05-24;Staatsoper Unter den Linden;52.516666666,13.395;allemand;
Alessandro Gandini;Maria di Brabante;1833-10-29;Teatro comunale Luciano Pavarotti;44.64785833,10.92920278;italien;
Gaetano Donizetti;Lucrezia Borgia;1833-12-26;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Lema%C3%AEtre%20in%20Lucrezia%20Borgia.jpg
Saverio Mercadante;Emma d'Antiochia;1834-03-08;La Fenice;45.433333333,12.333055555;italien;
Adolphe Adam;Le Chalet;1834-09-25;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Saverio Mercadante;La gioventù di Enrico V;1834-11-25;La Scala;45.467777777,9.188611111;italien;
Jacques-Fromental Halévy;La Juive;1835-02-23;opéra de Paris;48.8719697,2.3316014;français;
Gaetano Donizetti;Lucia di Lammermoor;1835-09-26;Teatro San Carlo;40.8375,14.249444444;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Fanny%20Tacchinardi%20Persiani.jpg
Jacques-Fromental Halévy;L’éclair;1835-12-16;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Giacomo Meyerbeer;Les Huguenots;1836-02-29;opéra Le Peletier;48.872929,2.338972;français;http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Huguenots%20-%20vocal%20score%20cover%20-%20Macquet%20reprint%20%28after%201888%29%20IMSLP72250.jpg
Saverio Mercadante;Il giuramento;1837-03-11;La Scala;45.467777777,9.188611111;italien;
Daniel François Esprit Auber;Le Domino noir;1837-12-02;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Hector Berlioz;Benvenuto Cellini;1838-09-10;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20for%201st%20performance%20%2810%20Sept%201838%29%20of%20Benvenuto%20Cellini%20by%20Berlioz%20-%20Holoman%20p191.jpg
Hector Berlioz;Benvenuto Cellini;1838-09-10;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/08.05.1969.%20D%C3%A9cors%20et%20spectacle%20%22Benvenito%20cellini%22.%20%281969%29%20-%2053Fi3977%20%28cropped%29.jpg
Giuseppe Verdi;Oberto, conte di San Bonifacio;1839-11-17;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Verdi%20-%20Oberto%20-%20titlepage%20of%20the%20libretto%20-%20Milan%201839.png
Gaetano Donizetti;La Fille du régiment;1840-02-11;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/La%20fille%20du%20regiment%201910%20poster.jpg
Giuseppe Verdi;Un giorno di regno;1840-09-05;La Scala;45.467777777,9.188611111;italien;
Giuseppe Verdi;Nabucco;1842-03-09;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Nabucco.jpg
Richard Wagner;Der Fliegende Holländer;1843-01-02;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/RichardWagner.jpg
Daniel François Esprit Auber;La Part du diable;1843-01-16;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Giuseppe Verdi;I Lombardi alla prima crociata;1843-02-11;La Scala;45.467777777,9.188611111;italien;
Alberto Mazzucato;Luigi V, re di Francia;1843-02-25;Teatro Re;45.4651,9.18933;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Title%20page%20of%20Luigi%20V%2C%20re%20di%20Francia%20%28Alberto%20Mazzucato%29.jpg
Michael William Balfe;The Bohemian Girl;1843-11-27;Her Majesty's Theatre;51.5081,-0.132;anglais;http://commons.wikimedia.org/wiki/Special:FilePath/Title%20page%20of%20The%20Bohemian%20Girl.JPG
Gaetano Donizetti;Caterina Cornaro;1844-01-18;Teatro San Carlo;40.8375,14.249444444;italien;
Adolphe Adam;Cagliostro;1844-02-10;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Giuseppe Verdi;Ernani;1844-03-09;La Fenice;45.433333333,12.333055555;italien;
Giuseppe Verdi;I due Foscari;1844-11-03;Teatro Argentina;41.89558333,12.47616667;italien;
Giuseppe Verdi;Alzira;1845-02-12;Teatro San Carlo;40.8375,14.249444444;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Giuseppe%20Verdi%20-%20Alzira%20-%20titlepage%20of%20the%20libretto%20-%20Naples%201845.png
Richard Wagner;Tannhäuser;1845-10-19;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Wagner%20Tannh%C3%A4user%201845.jpg
Giuseppe Verdi;Attila;1846-03-17;La Fenice;45.433333333,12.333055555;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Illustrated%20London%20News%20-%20Giuseppe%20Verdi%27s%20Attila%20at%20Her%20Majesty%27s%20Theatre%2C%20London.jpg
Giuseppe Verdi;I masnadieri;1847-07-22;Her Majesty's Theatre;51.5081,-0.132;italien;
Friedrich von Flotow;Martha;1847-11-25;Theater am Kärntnertor;48.2039,16.3694;allemand;
Daniel François Esprit Auber;Haydée;1847-12-28;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Giuseppe Verdi;Il corsaro;1848-10-25;Teatro Verdi;45.6509,13.7687;italien;
Ambroise Thomas;Le Caïd;1849-01-03;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Giuseppe Verdi;La battaglia di Legnano;1849-01-27;Teatro Argentina;41.89558333,12.47616667;italien;
Adolphe Adam;Le toréador;1849-05-18;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
